"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",27989.90,41.44,90.29,0.42%,1682945
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",1898.39,,9.92,4.53%,6267115
3,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",4961.82,,11.22,0.99%,49148576
4,"AAMC","Altisource Asset Management Corporation","Financial","Asset Management","USA",28.32,,17.48,-0.11%,1336
5,"AAME","Atlantic American Corporation","Financial","Insurance - Life","USA",40.13,,1.87,2.14%,671
6,"AAN","Aaron's, Inc.","Industrials","Rental & Leasing Services","USA",2568.64,,38.44,2.97%,758119
7,"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors","USA",185.53,,9.05,-1.09%,813285
8,"AAON","AAON, Inc.","Industrials","Building Products & Equipment","USA",2825.86,44.29,54.26,-0.02%,247255
9,"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail","USA",9650.06,25.42,139.49,-0.21%,540323
10,"AAPL","Apple Inc.","Technology","Consumer Electronics","USA",1402829.97,25.35,323.34,0.46%,21910704
11,"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified","USA",1681.93,35.13,26.98,1.47%,373422
12,"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services","USA",1182.35,,45.44,11.48%,1063553
13,"AAXN","Axon Enterprise, Inc.","Industrials","Aerospace & Defense","USA",5832.74,,97.85,9.03%,3639943
14,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",2571.14,9.88,26.00,1.76%,318774
15,"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General","USA",155873.23,16.11,91.04,0.37%,9413274
16,"ABC","AmerisourceBergen Corporation","Healthcare","Medical Distribution","USA",19870.12,13.00,98.66,3.69%,2078208
17,"ABCB","Ameris Bancorp","Financial","Banks - Regional","USA",1683.88,10.38,23.71,-1.45%,286049
18,"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology","USA",250.71,,3.06,-4.97%,1302794
19,"ABG","Asbury Automotive Group, Inc.","Consumer Cyclical","Auto & Truck Dealerships","USA",1510.25,8.76,74.25,2.06%,154441
20,"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology","USA",22.09,,9.09,-1.20%,607853
21,"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services","USA",2334.49,15.11,32.16,-0.22%,401438
22,"ABMD","Abiomed, Inc.","Healthcare","Medical Devices","USA",10389.16,52.09,230.66,2.00%,509432
23,"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage","USA",980.79,19.49,8.75,1.51%,2006478
24,"ABT","Abbott Laboratories","Healthcare","Medical Devices","USA",163835.62,46.47,92.62,-0.42%,6394362
25,"ABTX","Allegiance Bancshares, Inc.","Financial","Banks - Regional","USA",528.10,12.24,25.28,-0.55%,48791
26,"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology","USA",143.50,,2.09,-3.24%,1058730
27,"AC","Associated Capital Group, Inc.","Financial","Capital Markets","USA",880.15,,36.95,-4.08%,15725
28,"ACA","Arcosa, Inc.","Industrials","Infrastructure Operations","USA",1903.06,16.39,39.36,4.24%,232816
29,"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology","USA",7636.62,,48.02,-1.78%,1059851
30,"ACAM","Acamar Partners Acquisition Corp.","Industrials","Conglomerates","USA",381.22,123.33,9.99,0.10%,201048
31,"ACBI","Atlantic Capital Bancshares, Inc.","Financial","Banks - Regional","USA",243.59,10.74,11.21,-1.58%,60295
32,"ACC","American Campus Communities, Inc.","Real Estate","REIT - Residential","USA",5041.67,46.09,35.40,3.81%,2601004
33,"ACCO","ACCO Brands Corporation","Industrials","Business Equipment & Supplies","USA",623.07,5.56,6.44,4.04%,398056
34,"ACEL","Accel Entertainment, Inc.","Consumer Cyclical","Gambling","USA",738.51,,10.03,-1.38%,316464
35,"ACER","Acer Therapeutics Inc.","Healthcare","Biotechnology","USA",35.57,,3.26,1.56%,80322
36,"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities","USA",2623.39,22.37,28.74,-0.17%,391081
37,"ACIA","Acacia Communications, Inc.","Technology","Communication Equipment","USA",2789.85,70.05,67.60,0.16%,703525
38,"ACIW","ACI Worldwide, Inc.","Technology","Software - Infrastructure","USA",3205.25,48.22,27.63,-0.36%,485926
39,"ACLS","Axcelis Technologies, Inc.","Technology","Semiconductor Equipment & Materials","USA",856.64,39.85,26.06,-0.50%,661529
40,"ACM","AECOM","Industrials","Engineering & Construction","USA",6944.19,,43.48,10.89%,4908968
41,"ACMR","ACM Research, Inc.","Technology","Semiconductor Equipment & Materials","USA",1086.03,62.15,60.91,-4.68%,484445
42,"ACNB","ACNB Corporation","Financial","Banks - Regional","USA",210.00,10.07,24.00,-0.50%,12758
43,"ACOR","Acorda Therapeutics, Inc.","Healthcare","Biotechnology","USA",37.89,,0.77,-0.01%,1418981
44,"ACRE","Ares Commercial Real Estate Corporation","Real Estate","REIT - Mortgage","USA",303.84,19.10,8.48,5.74%,908262
45,"ACRS","Aclaris Therapeutics, Inc.","Healthcare","Biotechnology","USA",58.09,,1.46,10.61%,1062989
46,"ACRX","AcelRx Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",115.00,,1.32,3.94%,1973506
