"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",29976.86,44.10,98.28,0.70%,218437
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",2924.81,,14.89,-1.52%,950666
3,"AAAU","Perth Mint Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,19.11,-0.47%,142827
4,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",34.56,,1.09,0.94%,506
5,"AACQU","Artius Acquisition Inc.","Financial","Shell Companies","USA",,,10.07,0.30%,4343
6,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,56.34,0.26%,1505
7,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",7026.16,,12.85,-4.43%,49557919
8,"AAMC","Altisource Asset Management Corporation","Financial","Asset Management","USA",32.49,,20.00,8.34%,4821
9,"AAME","Atlantic American Corporation","Financial","Insurance - Life","USA",41.08,,1.97,-1.75%,1025
10,"AAN","Aaron's, Inc.","Industrials","Rental & Leasing Services","USA",3900.83,,57.02,-1.86%,111047
11,"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors","USA",286.36,,11.79,1.20%,228248
12,"AAON","AAON, Inc.","Industrials","Building Products & Equipment","USA",3071.90,44.45,57.81,-1.49%,24119
13,"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail","USA",10957.37,24.19,156.30,-0.53%,205339
14,"AAPL","Apple Inc.","Technology","Consumer Electronics","USA",2046996.69,38.26,495.59,-1.56%,26043818
15,"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified","USA",1585.89,35.06,25.62,-0.58%,43315
16,"AAU","Almaden Minerals Ltd.","Basic Materials","Gold","Canada",79.69,,0.61,-9.87%,369829
17,"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services","USA",1536.71,,57.19,-0.51%,89439
18,"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund","USA",,,78.46,0.71%,296449
19,"AAXN","Axon Enterprise, Inc.","Industrials","Aerospace & Defense","USA",5228.93,,86.32,3.69%,465347
20,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",2752.62,10.84,28.49,-1.86%,70505
21,"ABB","ABB Ltd","Industrials","Specialty Industrial Machinery","Switzerland",56352.14,39.17,25.90,-0.58%,729301
22,"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General","USA",167392.34,20.79,94.19,-0.34%,2620698
23,"ABC","AmerisourceBergen Corporation","Healthcare","Medical Distribution","USA",20098.44,12.89,97.37,-0.20%,162295
24,"ABCB","Ameris Bancorp","Financial","Banks - Regional","USA",1771.58,12.99,24.85,-0.76%,25928
25,"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology","USA",210.85,,2.37,-0.84%,103027
26,"ABEQ","Absolute Core Strategy ETF","Financial","Exchange Traded Fund","USA",,,23.44,-0.64%,1417
27,"ABEV","Ambev S.A.","Consumer Defensive","Beverages - Brewers","Brazil",36658.12,13.24,2.28,-2.15%,4217691
28,"ABG","Asbury Automotive Group, Inc.","Consumer Cyclical","Auto & Truck Dealerships","USA",2059.64,12.77,103.12,-1.37%,20175
29,"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology","USA",33.42,,5.49,-1.47%,176510
30,"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services","USA",2528.61,,37.38,-1.61%,30575
31,"ABMD","Abiomed, Inc.","Healthcare","Medical Devices","USA",13844.73,87.65,309.87,1.61%,68842
32,"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage","USA",1297.57,24.39,11.27,-1.87%,380091
33,"ABT","Abbott Laboratories","Healthcare","Medical Devices","USA",178164.53,58.64,102.66,1.25%,640995
34,"ABTX","Allegiance Bancshares, Inc.","Financial","Banks - Regional","USA",534.26,13.75,25.53,-1.66%,5359
35,"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology","USA",255.76,,3.03,0.66%,1058456
36,"AC","Associated Capital Group, Inc.","Financial","Capital Markets","USA",864.12,,38.49,1.29%,3899
37,"ACA","Arcosa, Inc.","Industrials","Infrastructure Operations","USA",2208.84,18.91,46.18,0.48%,59926
38,"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology","USA",6139.66,,37.98,-0.05%,632886
39,"ACAM","Acamar Partners Acquisition Corp.","Industrials","Conglomerates","USA",384.29,182.91,10.06,0.00%,287030
40,"ACB","Aurora Cannabis Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","Canada",1070.54,44.03,9.32,-2.00%,986398
41,"ACBI","Atlantic Capital Bancshares, Inc.","Financial","Banks - Regional","USA",246.49,13.40,11.12,-1.07%,6690
42,"ACC","American Campus Communities, Inc.","Real Estate","REIT - Residential","USA",4523.83,41.85,33.22,-0.29%,243107
43,"ACCD","Accolade, Inc.","Healthcare","Health Information Services","USA",1899.83,,39.79,-0.87%,48758
44,"ACCO","ACCO Brands Corporation","Industrials","Business Equipment & Supplies","USA",676.87,8.16,6.63,-5.96%,94192
45,"ACEL","Accel Entertainment, Inc.","Consumer Cyclical","Gambling","USA",978.61,,11.98,-3.00%,95797
46,"ACER","Acer Therapeutics Inc.","Healthcare","Biotechnology","USA",33.81,,2.77,1.84%,123675
47,"ACES","ALPS Clean Energy ETF","Financial","Exchange Traded Fund","USA",,,52.02,-0.17%,35046
48,"ACEVU","ACE Convergence Acquisition Corp.","Financial","Shell Companies","USA",,,9.97,0.00%,7936
49,"ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified","Bermuda",13180.65,11.75,31.58,-1.16%,178801
50,"ACH","Aluminum Corporation of China Limited","Basic Materials","Aluminum","China",7210.38,49.70,6.65,-0.15%,11309
51,"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities","USA",2697.21,25.13,29.66,-1.67%,52770
52,"ACHV","Achieve Life Sciences, Inc.","Healthcare","Biotechnology","Canada",29.70,,8.22,3.46%,147533
53,"ACI","Albertsons Companies, Inc.","Consumer Defensive","Grocery Stores","USA",7045.03,5.82,14.40,-1.13%,857682
54,"ACIA","Acacia Communications, Inc.","Technology","Communication Equipment","USA",2853.02,48.88,67.74,-0.09%,32096
55,"ACIO","Aptus Collared Income Opportunity ETF","Financial","Exchange Traded Fund","USA",,,27.01,0.36%,1323
56,"ACIU","AC Immune SA","Healthcare","Biotechnology","Switzerland",500.31,,7.58,0.80%,69895
57,"ACIW","ACI Worldwide, Inc.","Technology","Software - Infrastructure","USA",3516.30,46.51,29.76,-0.80%,76973
58,"ACLS","Axcelis Technologies, Inc.","Technology","Semiconductor Equipment & Materials","USA",836.35,24.11,24.42,-1.57%,62672
59,"ACM","AECOM","Industrials","Engineering & Construction","USA",6283.31,,38.56,-0.49%,219048
60,"ACMR","ACM Research, Inc.","Technology","Semiconductor Equipment & Materials","USA",1744.90,99.43,95.86,0.53%,103813
61,"ACN","Accenture plc","Technology","Information Technology Services","Ireland",157212.19,30.97,237.52,-0.10%,394210
